"Model","Category","BoundaryType","Value","SourceKind","Scope","Count"
"M3187","C8450","TO","003249","ATTRIBUTE_C","APPLICATION","4"
"M3187","C8450","TO","003249","TREE_TEXT","ITEM_TREE","4"
"M3187","C8450","TO","003249","ATTRIBUTE_C","TOP","136"
"M3187","C8450","FROM","003250","TREE_TEXT","ITEM_TREE","4"
"M3187","C8450","FROM","003250","ATTRIBUTE_C","APPLICATION","4"
"M3187","C8450","FROM","003250","ATTRIBUTE_C","TOP","136"
"M3187","C8450","TO","018107","ATTRIBUTE_C","TOP","236"
"M3187","C8450","TO","018107","ATTRIBUTE_C","APPLICATION","12"
"M3187","C8450","TO","018107","TREE_TEXT","ITEM_TREE","12"
"M3187","C8450","FROM","018108","ATTRIBUTE_C","APPLICATION","12"
"M3187","C8450","FROM","018108","ATTRIBUTE_C","TOP","316"
"M3187","C8450","FROM","018108","TREE_TEXT","ITEM_TREE","12"
"M3187","C8450","TO","024686","TREE_TEXT","ITEM_TREE","14"
"M3187","C8450","TO","024686","ATTRIBUTE_C","APPLICATION","14"
"M3187","C8450","TO","024686","ATTRIBUTE_C","TOP","392"
"M3187","C8450","FROM","024687","ATTRIBUTE_C","TOP","264"
"M3187","C8450","FROM","024687","ATTRIBUTE_C","APPLICATION","10"
"M3187","C8450","FROM","024687","TREE_TEXT","ITEM_TREE","10"
"M3187","C8450","TO","028938","ATTRIBUTE_C","TOP","132"
"M3187","C8450","TO","028938","TREE_TEXT","ITEM_TREE","4"
"M3187","C8450","TO","028938","ATTRIBUTE_C","APPLICATION","4"
"M3187","C8450","FROM","028939","ATTRIBUTE_C","TOP","132"
"M3187","C8450","FROM","028939","ATTRIBUTE_C","APPLICATION","4"
"M3187","C8450","FROM","028939","TREE_TEXT","ITEM_TREE","4"
"M3187","C8450","DOMAIN_MAX","042775","CATEGORY_HEADER","CATEGORY","1"
